手机型号,手机品牌,是否gsm,是否cdma,网络类型,电池容量,电池拆卸,后置摄像,外观设计,是否触屏,操作系统,CPU性能,主屏尺寸,分辨率,是否有无线
motorola mb860 / mb861 / me860 atrix 4g,motorola,是,是,单卡双模,1880,是,500,直板,触屏,android,1024,4,518400,是
motorola mb860 / me860 atrix 4g,motorola,是,是,单卡双模,1880,是,500,直板,触屏,android,1024,4,518400,是
motorola mb860 atrix 4g,motorola,是,是,单卡双模,1780,是,500,直板,触屏,android,1024,4,518400,是
motorola me525 defy,motorola,是,是,单卡双模,1500,是,500,直板,触屏,android,800,3.7,409920,是
motorola me865 atrix 2,motorola,是,是,单卡双模,1735,是,800,直板,触屏,android,1024,4.3,518400,是
motorola milestone 2 a953,motorola,是,是,单卡双模,1390,是,500,滑盖,触屏,android,1024,3.7,409920,是
motorola q 9h,motorola,是,否,单卡单模,1170,是,200,直板,否,windows,330,2.4,76800,否
motorola xt702 milestone,motorola,是,是,单卡双模,1390,是,500,滑盖,触屏,android,550,3.7,409920,是
motorola xt910 droid razr,motorola,是,是,单卡双模,1780,否,800,直板,触屏,android,1228,4.3,518400,是
nokia 1200,nokia,是,否,单卡单模,700,是,0,直板,否,嵌入式,100,1,6528,否
nokia 1661 / 1662,nokia,是,否,单卡单模,720,是,0,直板,否,symbian,100,1.8,20480,否
nokia 2610,nokia,是,否,单卡单模,970,是,0,直板,否,symbian,100,1,16384,否
nokia 2730 classic,nokia,是,是,单卡双模,1020,是,200,直板,单触屏,symbian,200,2,76800,否
nokia 3110 classic,nokia,是,否,单卡单模,1020,是,130,直板,否,symbian,200,1.8,20480,否
nokia 500,nokia,是,是,单卡双模,1000,是,500,直板,触屏,symbian,1024,3.2,230400,是
nokia 500 fate,nokia,是,是,单卡双模,1000,是,500,直板,触屏,symbian,1024,3.2,230400,是
nokia 5228 / 5233,nokia,是,否,单卡单模,1320,是,200,直板,单触屏,symbian,434,3.2,230400,否
nokia 5230,nokia,是,是,单卡双模,1320,是,200,直板,单触屏,symbian,434,3.2,230400,否
nokia 5230 xpressmusic,nokia,是,是,单卡双模,1320,是,200,直板,单触屏,symbian,434,3.2,230400,否
nokia 5233,nokia,是,否,单卡单模,1320,是,200,直板,单触屏,symbian,434,3.2,230400,否
nokia 5235,nokia,是,是,单卡双模,1320,是,200,直板,单触屏,symbian,434,3.2,230400,否
nokia 5250,nokia,是,否,单卡单模,1000,是,200,直板,触屏,symbian,434,2.8,230400,否
nokia 5300,nokia,是,否,单卡单模,890,是,130,滑盖,否,symbian,200,2,76800,否
nokia 5320,nokia,是,是,单卡单模,890,是,200,直板,否,symbian,369,2,76800,否
nokia 5320 xpressmusic,nokia,是,是,单卡双模,890,是,200,直板,否,symbian,369,2,76800,否
nokia 5530 xpressmusic,nokia,是,否,单卡单模,1000,是,320,直板,单触屏,symbian,434,2.9,230400,是
nokia 5700 xpressmusic,nokia,是,否,单卡单模,900,是,200,直板,否,symbian,200,2.2,76800,否
nokia 5800 xpressmusic,nokia,是,是,单卡单模,1320,是,320,直板,单触屏,symbian,369,3.2,230400,是
nokia 5800i xpressmusic,nokia,是,是,单卡双模,1320,是,320,直板,触屏,symbian,434,3.2,230400,否
nokia 6085,nokia,是,否,单卡单模,970,是,30,翻盖,否,嵌入式,100,1.8,20480,否
nokia 6120 classic,nokia,是,是,单卡双模,890,是,200,直板,否,symbian,369,2,76800,否
nokia 6210 slide,nokia,是,是,单卡双模,950,是,320,滑盖,否,symbian,369,2.4,76800,否
nokia 6300,nokia,是,否,单卡单模,760,是,200,直板,否,symbian,200,2,76800,否
nokia 6303 classic,nokia,是,否,单卡单模,1050,是,320,直板,否,symbian,200,2.2,76800,否
nokia 6500 classic,nokia,是,否,单卡单模,830,是,200,直板,否,symbian,200,2,76800,否
nokia 6600,nokia,是,否,单卡单模,960,是,30,直板,否,symbian,200,2.1,36608,否
nokia 6630,nokia,是,否,单卡单模,900,是,123,直板,否,symbian,200,2.1,36608,否
nokia 6650,nokia,是,是,单卡双模,1500,是,200,翻盖,否,symbian,369,2.2,76800,否
nokia 6720 classic,nokia,是,是,单卡双模,1050,是,500,直板,否,symbian,600,2.2,76800,否
nokia c1-01,nokia,是,否,单卡单模,800,是,30,直板,否,symbian,200,1.8,20480,否
nokia c2-01,nokia,是,是,单卡双模,1020,是,320,直板,否,symbian,200,2,76800,否
nokia c5-00,nokia,是,是,单卡双模,1050,是,320,直板,否,symbian,600,2.2,76800,否
